pagamento_id,pedido_id,metodo,parcelas,valor,status,codigo_transacao,processado_em
55,55,CARTAO_CREDITO,10,8999.80,APROVADO,TXN-00055-A,2026-02-14 09:50:00
56,56,CARTAO_DEBITO,1,1598.20,APROVADO,TXN-00056-A,2026-05-13 18:37:00
57,57,CARTAO_CREDITO,2,1794.81,APROVADO,TXN-00057-A,2026-04-07 23:11:00
58,58,BOLETO,1,5292.95,APROVADO,TXN-00058-A,2026-05-29 20:28:00
59,59,PIX,1,11818.44,APROVADO,TXN-00059-A,2025-04-10 13:47:00
60,60,PIX,1,2424.70,APROVADO,TXN-00060-A,2025-12-29 22:00:00
61,61,CARTAO_CREDITO,3,6199.31,APROVADO,TXN-00061-A,2025-10-03 23:22:00
62,62,PIX,1,12109.62,APROVADO,TXN-00062-A,2025-05-11 16:04:00
63,63,CARTAO_DEBITO,1,1760.24,APROVADO,TXN-00063-A,2025-03-31 10:41:00
64,64,BOLETO,1,9494.74,PENDENTE,TXN-00064-P,
65,65,BOLETO,1,993.04,APROVADO,TXN-00065-A,2025-11-09 13:58:00
66,66,BOLETO,1,1459.72,APROVADO,TXN-00066-A,2026-03-07 08:12:00
67,67,CARTAO_DEBITO,1,596.34,APROVADO,TXN-00067-A,2025-09-29 11:40:00
68,68,PIX,1,5694.76,APROVADO,TXN-00068-A,2025-08-29 09:03:00
69,69,CARTAO_CREDITO,1,2479.72,RECUSADO,TXN-00069-R,2025-06-30 18:07:00
70,70,BOLETO,1,2265.25,APROVADO,TXN-00070-A,2026-06-18 15:21:00
71,71,BOLETO,1,14926.04,APROVADO,TXN-00071-A,2025-12-31 20:22:00
72,72,BOLETO,1,8219.53,APROVADO,TXN-00072-A,2026-02-23 12:21:00
73,73,PIX,1,2413.93,PENDENTE,TXN-00073-P,
74,74,PIX,1,963.02,RECUSADO,TXN-00074-R,2025-09-01 13:09:00
75,75,BOLETO,1,17156.42,PENDENTE,TXN-00075-P,
76,76,CARTAO_DEBITO,1,240.21,APROVADO,TXN-00076-A,2026-03-23 12:32:00
77,77,CARTAO_CREDITO,1,1099.85,APROVADO,TXN-00077-A,2025-01-17 21:14:00
78,78,CARTAO_CREDITO,6,2179.06,APROVADO,TXN-00078-A,2025-04-26 18:38:00
79,79,BOLETO,1,1069.80,APROVADO,TXN-00079-A,2025-11-26 20:23:00
80,80,CARTAO_DEBITO,1,2119.63,APROVADO,TXN-00080-A,2026-01-09 15:58:00
81,81,CARTAO_DEBITO,1,2564.91,APROVADO,TXN-00081-A,2025-10-15 08:29:00
82,82,PIX,1,409.81,APROVADO,TXN-00082-A,2026-03-05 10:40:00
83,83,CARTAO_DEBITO,1,3399.80,APROVADO,TXN-00083-A,2025-12-07 12:58:00
84,84,BOLETO,1,204.72,APROVADO,TXN-00084-A,2026-02-27 12:03:00
85,85,CARTAO_DEBITO,1,734.70,APROVADO,TXN-00085-A,2026-01-28 21:31:00
86,86,CARTAO_DEBITO,1,9459.43,APROVADO,TXN-00086-A,2025-12-31 19:14:00
87,87,CARTAO_CREDITO,1,21533.08,APROVADO,TXN-00087-A,2026-03-17 19:23:00
88,88,CARTAO_CREDITO,1,74.80,APROVADO,TXN-00088-A,2025-06-14 10:29:00
89,89,BOLETO,1,4389.68,PENDENTE,TXN-00089-P,
90,90,BOLETO,1,5389.30,APROVADO,TXN-00090-A,2025-06-15 14:26:00
91,91,CARTAO_DEBITO,1,3487.00,APROVADO,TXN-00091-A,2026-03-03 14:26:00
92,92,BOLETO,1,2519.80,APROVADO,TXN-00092-A,2025-09-21 14:10:00
93,93,PIX,1,1000.62,APROVADO,TXN-00093-A,2026-03-01 16:03:00
94,94,PIX,1,7124.71,APROVADO,TXN-00094-A,2025-11-11 21:20:00
95,95,BOLETO,1,4049.91,APROVADO,TXN-00095-A,2025-02-03 12:14:00
96,96,CARTAO_CREDITO,10,1439.81,APROVADO,TXN-00096-A,2026-02-10 11:20:00
97,97,PIX,1,924.72,APROVADO,TXN-00097-A,2025-10-18 09:05:00
98,98,PIX,1,12259.30,APROVADO,TXN-00098-A,2025-10-31 18:47:00
99,99,PIX,1,4151.82,PENDENTE,TXN-00099-P,
100,100,BOLETO,1,514.80,APROVADO,TXN-00100-A,2025-07-03 11:12:00
101,101,CARTAO_CREDITO,10,904.81,APROVADO,TXN-00101-A,2026-01-13 12:45:00
102,102,PIX,1,8085.53,APROVADO,TXN-00102-A,2026-05-22 17:58:00
103,103,CARTAO_CREDITO,2,549.80,APROVADO,TXN-00103-A,2026-03-07 22:24:00
104,104,PIX,1,7433.13,APROVADO,TXN-00104-A,2025-10-11 17:42:00
105,105,CARTAO_DEBITO,1,5191.52,APROVADO,TXN-00105-A,2025-02-27 22:25:00
106,106,BOLETO,1,89.80,PENDENTE,TXN-00106-P,
107,107,PIX,1,5234.61,APROVADO,TXN-00107-A,2026-01-09 08:11:00
108,108,PIX,1,5057.64,APROVADO,TXN-00108-A,2025-03-17 17:09:00
109,109,PIX,1,326.34,APROVADO,TXN-00109-A,2025-09-05 16:23:00
110,110,CARTAO_CREDITO,1,9246.34,APROVADO,TXN-00110-A,2025-03-26 14:14:00
111,111,CARTAO_CREDITO,10,4194.63,APROVADO,TXN-00111-A,2026-01-15 22:53:00
112,112,CARTAO_CREDITO,1,4999.72,RECUSADO,TXN-00112-R,2026-04-04 16:10:00
113,113,PIX,1,1068.72,APROVADO,TXN-00113-A,2025-11-12 13:36:00
114,114,PIX,1,4538.63,APROVADO,TXN-00114-A,2025-09-14 18:01:00
115,115,CARTAO_CREDITO,6,5165.22,APROVADO,TXN-00115-A,2026-04-13 14:52:00
116,116,CARTAO_DEBITO,1,14523.34,APROVADO,TXN-00116-A,2025-11-20 09:55:00
117,117,BOLETO,1,6307.43,RECUSADO,TXN-00117-R,2025-03-15 16:08:00
118,118,CARTAO_DEBITO,1,17661.06,APROVADO,TXN-00118-A,2025-06-18 14:32:00
119,119,CARTAO_CREDITO,1,6699.50,APROVADO,TXN-00119-A,2025-07-19 22:30:00
120,120,CARTAO_DEBITO,1,832.95,APROVADO,TXN-00120-A,2026-06-08 22:26:00
