pedido_id,cliente_id,endereco_entrega_id,status,subtotal,valor_desconto,valor_frete,valor_total,criado_em,atualizado_em
80,12,23,ENTREGUE,2299.70,229.97,49.90,2119.63,2026-01-09 14:47:00,2026-01-13 16:47:00
81,28,40,ENTREGUE,2699.91,135.00,0.00,2564.91,2025-10-15 08:20:00,2025-10-19 10:20:00
82,11,21,ENTREGUE,359.91,0.00,49.90,409.81,2026-03-05 09:26:00,2026-03-09 11:26:00
83,17,29,ENVIADO,3399.80,0.00,0.00,3399.80,2025-12-07 11:40:00,2025-12-10 13:40:00
84,49,61,EM_SEPARACAO,199.80,19.98,24.90,204.72,2026-02-27 10:19:00,2026-03-01 12:19:00
85,21,33,PAGAMENTO_APROVADO,699.80,0.00,34.90,734.70,2026-01-28 20:57:00,2026-01-29 22:57:00
86,19,31,EM_SEPARACAO,9459.43,0.00,0.00,9459.43,2025-12-31 19:12:00,2026-01-02 21:12:00
87,10,19,ENTREGUE,24469.41,2936.33,0.00,21533.08,2026-03-17 18:15:00,2026-03-21 20:15:00
88,13,25,EM_SEPARACAO,39.90,0.00,34.90,74.80,2025-06-14 08:51:00,2025-06-16 10:51:00
89,22,34,PENDENTE_PAGAMENTO,4877.42,487.74,0.00,4389.68,2026-06-21 09:49:00,2026-06-21 11:49:00
90,33,45,PAGAMENTO_APROVADO,5389.30,0.00,0.00,5389.30,2025-06-15 14:18:00,2025-06-16 16:18:00
91,36,48,ENVIADO,3874.44,387.44,0.00,3487.00,2026-03-03 12:52:00,2026-03-06 14:52:00
92,6,11,ENTREGUE,2599.80,80.00,0.00,2519.80,2025-09-21 12:36:00,2025-09-25 14:36:00
93,9,17,ENTREGUE,965.72,0.00,34.90,1000.62,2026-03-01 14:31:00,2026-03-05 16:31:00
94,19,31,PAGAMENTO_APROVADO,7499.70,374.99,0.00,7124.71,2025-11-11 21:19:00,2025-11-12 23:19:00
95,13,25,ENTREGUE,4049.91,0.00,0.00,4049.91,2025-02-03 11:12:00,2025-02-07 13:12:00
96,37,49,ENTREGUE,1439.91,50.00,49.90,1439.81,2026-02-10 10:35:00,2026-02-14 12:35:00
97,29,41,ENTREGUE,899.82,0.00,24.90,924.72,2025-10-18 08:07:00,2025-10-22 10:07:00
98,34,46,PAGAMENTO_APROVADO,12259.30,0.00,0.00,12259.30,2025-10-31 17:13:00,2025-11-01 19:13:00
99,22,34,PENDENTE_PAGAMENTO,4231.82,80.00,0.00,4151.82,2026-06-22 12:43:00,2026-06-22 14:43:00
100,31,43,ENTREGUE,499.90,0.00,14.90,514.80,2025-07-03 09:27:00,2025-07-07 11:27:00
101,29,41,ENTREGUE,999.90,119.99,24.90,904.81,2026-01-13 11:20:00,2026-01-17 13:20:00
102,15,27,ENVIADO,8085.53,0.00,0.00,8085.53,2026-05-22 16:49:00,2026-05-25 18:49:00
103,24,36,PAGAMENTO_APROVADO,499.90,0.00,49.90,549.80,2026-03-07 20:45:00,2026-03-08 22:45:00
104,50,62,ENTREGUE,7433.13,0.00,0.00,7433.13,2025-10-11 17:39:00,2025-10-15 19:39:00
105,3,5,PAGAMENTO_APROVADO,5191.52,0.00,0.00,5191.52,2025-02-27 20:36:00,2025-02-28 22:36:00
106,38,50,PENDENTE_PAGAMENTO,69.90,0.00,19.90,89.80,2025-02-05 14:57:00,2025-02-05 16:57:00
107,33,45,EM_SEPARACAO,5234.61,0.00,0.00,5234.61,2026-01-09 08:05:00,2026-01-11 10:05:00
108,45,57,ENTREGUE,5619.60,561.96,0.00,5057.64,2025-03-17 15:33:00,2025-03-21 17:33:00
109,15,27,ENVIADO,323.82,32.38,34.90,326.34,2025-09-05 15:08:00,2025-09-08 17:08:00
110,33,45,ENTREGUE,9246.34,0.00,0.00,9246.34,2025-03-26 13:18:00,2025-03-30 15:18:00
111,36,48,ENTREGUE,4194.63,0.00,0.00,4194.63,2026-01-15 21:51:00,2026-01-19 23:51:00
112,47,59,CANCELADO,4999.72,0.00,0.00,4999.72,2026-04-04 15:55:00,2026-04-05 17:55:00
113,45,57,ENTREGUE,1159.80,115.98,24.90,1068.72,2025-11-12 12:43:00,2025-11-16 14:43:00
114,8,15,EM_SEPARACAO,4588.63,50.00,0.00,4538.63,2025-09-14 16:26:00,2025-09-16 18:26:00
115,12,23,ENTREGUE,5165.22,0.00,0.00,5165.22,2026-04-13 14:41:00,2026-04-17 16:41:00
116,44,56,PAGAMENTO_APROVADO,14523.34,0.00,0.00,14523.34,2025-11-20 09:54:00,2025-11-21 11:54:00
117,10,19,CANCELADO,6357.43,50.00,0.00,6307.43,2025-03-15 15:53:00,2025-03-16 17:53:00
118,44,56,EM_SEPARACAO,17661.06,0.00,0.00,17661.06,2025-06-18 13:46:00,2025-06-20 15:46:00
119,32,44,ENVIADO,6699.50,0.00,0.00,6699.50,2025-07-19 21:28:00,2025-07-22 23:28:00
120,3,5,ENVIADO,840.05,42.00,34.90,832.95,2026-06-08 21:14:00,2026-06-11 23:14:00
