estoque_id,produto_id,centro_id,quantidade,reservado,ponto_reposicao,atualizado_em
40,14,1,67,1,10,2026-06-30 18:00:00
41,14,2,10,3,10,2026-06-30 18:00:00
42,14,3,38,0,12,2026-06-30 18:00:00
43,15,1,59,0,15,2026-06-30 18:00:00
44,15,2,63,0,12,2026-06-30 18:00:00
45,15,3,10,1,10,2026-06-30 18:00:00
46,16,1,52,2,20,2026-06-30 18:00:00
47,16,2,53,0,10,2026-06-30 18:00:00
48,16,3,41,2,20,2026-06-30 18:00:00
49,17,1,17,2,15,2026-06-30 18:00:00
50,17,2,45,1,15,2026-06-30 18:00:00
51,17,3,22,0,12,2026-06-30 18:00:00
52,18,1,52,0,12,2026-06-30 18:00:00
53,18,2,37,3,15,2026-06-30 18:00:00
54,18,3,68,2,10,2026-06-30 18:00:00
55,19,1,48,0,10,2026-06-30 18:00:00
56,19,2,8,1,12,2026-06-30 18:00:00
57,19,3,18,2,10,2026-06-30 18:00:00
58,20,1,27,0,20,2026-06-30 18:00:00
59,20,2,48,0,20,2026-06-30 18:00:00
60,20,3,57,3,8,2026-06-30 18:00:00
61,21,1,55,2,20,2026-06-30 18:00:00
62,21,2,33,1,15,2026-06-30 18:00:00
63,21,3,67,0,12,2026-06-30 18:00:00
64,22,1,18,0,20,2026-06-30 18:00:00
65,22,2,13,3,20,2026-06-30 18:00:00
66,22,3,24,0,15,2026-06-30 18:00:00
67,23,1,41,0,15,2026-06-30 18:00:00
68,23,2,37,2,10,2026-06-30 18:00:00
69,23,3,28,2,12,2026-06-30 18:00:00
70,24,1,51,0,15,2026-06-30 18:00:00
71,24,2,21,2,20,2026-06-30 18:00:00
72,24,3,8,0,20,2026-06-30 18:00:00
73,25,1,22,0,20,2026-06-30 18:00:00
74,25,2,10,2,15,2026-06-30 18:00:00
75,25,3,13,2,10,2026-06-30 18:00:00
76,26,1,20,3,10,2026-06-30 18:00:00
77,26,2,46,2,8,2026-06-30 18:00:00
78,26,3,50,0,20,2026-06-30 18:00:00
79,27,1,17,3,15,2026-06-30 18:00:00
80,27,2,37,0,12,2026-06-30 18:00:00
81,27,3,40,2,12,2026-06-30 18:00:00
82,28,1,15,3,20,2026-06-30 18:00:00
83,28,2,9,0,10,2026-06-30 18:00:00
84,28,3,63,0,8,2026-06-30 18:00:00
85,29,1,30,2,15,2026-06-30 18:00:00
86,29,2,19,3,8,2026-06-30 18:00:00
87,29,3,69,0,20,2026-06-30 18:00:00
88,30,1,45,0,20,2026-06-30 18:00:00
89,30,2,62,0,15,2026-06-30 18:00:00
90,30,3,66,2,15,2026-06-30 18:00:00
91,31,1,27,1,15,2026-06-30 18:00:00
92,31,2,16,0,20,2026-06-30 18:00:00
93,31,3,15,1,10,2026-06-30 18:00:00
94,32,1,62,3,12,2026-06-30 18:00:00
95,32,2,37,0,20,2026-06-30 18:00:00
96,32,3,68,0,10,2026-06-30 18:00:00
97,33,1,48,2,12,2026-06-30 18:00:00
98,33,2,38,0,12,2026-06-30 18:00:00
99,33,3,37,3,15,2026-06-30 18:00:00
100,34,1,10,0,20,2026-06-30 18:00:00
101,34,2,67,3,10,2026-06-30 18:00:00
102,34,3,65,0,10,2026-06-30 18:00:00
103,35,1,20,3,8,2026-06-30 18:00:00
104,35,2,43,0,20,2026-06-30 18:00:00
105,35,3,63,3,20,2026-06-30 18:00:00
106,36,1,13,3,10,2026-06-30 18:00:00
107,36,2,29,3,15,2026-06-30 18:00:00
108,36,3,59,0,20,2026-06-30 18:00:00
109,37,1,65,2,8,2026-06-30 18:00:00
110,37,2,36,1,20,2026-06-30 18:00:00
111,37,3,60,2,10,2026-06-30 18:00:00
112,38,1,9,1,15,2026-06-30 18:00:00
113,38,2,58,0,10,2026-06-30 18:00:00
114,38,3,64,3,8,2026-06-30 18:00:00
115,39,1,41,3,20,2026-06-30 18:00:00
116,39,2,10,0,10,2026-06-30 18:00:00
117,39,3,17,1,12,2026-06-30 18:00:00
118,40,1,51,2,20,2026-06-30 18:00:00
119,40,2,25,0,12,2026-06-30 18:00:00
120,40,3,39,3,15,2026-06-30 18:00:00
121,41,1,62,2,10,2026-06-30 18:00:00
122,41,2,11,2,10,2026-06-30 18:00:00
123,41,3,63,0,15,2026-06-30 18:00:00
124,42,1,66,0,10,2026-06-30 18:00:00
125,42,2,48,0,15,2026-06-30 18:00:00
126,42,3,9,2,20,2026-06-30 18:00:00
127,43,1,32,0,8,2026-06-30 18:00:00
128,43,2,55,2,12,2026-06-30 18:00:00
129,43,3,39,0,15,2026-06-30 18:00:00
130,44,1,38,0,15,2026-06-30 18:00:00
131,44,2,10,0,15,2026-06-30 18:00:00
132,44,3,21,2,10,2026-06-30 18:00:00
133,45,1,24,2,10,2026-06-30 18:00:00
134,45,2,27,1,20,2026-06-30 18:00:00
135,45,3,64,2,8,2026-06-30 18:00:00
136,46,1,51,3,12,2026-06-30 18:00:00
137,46,2,32,0,10,2026-06-30 18:00:00
138,46,3,12,2,15,2026-06-30 18:00:00
139,47,1,51,0,10,2026-06-30 18:00:00
140,47,2,30,0,10,2026-06-30 18:00:00
141,47,3,50,0,10,2026-06-30 18:00:00
142,48,1,51,0,20,2026-06-30 18:00:00
143,48,2,37,3,12,2026-06-30 18:00:00
144,48,3,44,0,12,2026-06-30 18:00:00
145,49,1,39,3,20,2026-06-30 18:00:00
146,49,2,12,1,12,2026-06-30 18:00:00
147,49,3,20,1,12,2026-06-30 18:00:00
148,50,1,22,3,10,2026-06-30 18:00:00
149,50,2,37,1,10,2026-06-30 18:00:00
150,50,3,44,0,12,2026-06-30 18:00:00
151,51,1,18,0,20,2026-06-30 18:00:00
152,51,2,32,0,20,2026-06-30 18:00:00
153,51,3,20,1,20,2026-06-30 18:00:00
154,52,1,29,0,20,2026-06-30 18:00:00
155,52,2,68,0,8,2026-06-30 18:00:00
156,52,3,13,3,20,2026-06-30 18:00:00
157,53,1,42,0,20,2026-06-30 18:00:00
158,53,2,50,1,20,2026-06-30 18:00:00
159,53,3,41,1,20,2026-06-30 18:00:00
160,54,1,55,0,10,2026-06-30 18:00:00
161,54,2,8,1,20,2026-06-30 18:00:00
162,54,3,43,3,12,2026-06-30 18:00:00
163,55,1,31,3,12,2026-06-30 18:00:00
164,55,2,21,0,10,2026-06-30 18:00:00
165,55,3,21,0,12,2026-06-30 18:00:00
166,56,1,42,3,8,2026-06-30 18:00:00
167,56,2,30,3,8,2026-06-30 18:00:00
168,56,3,64,3,20,2026-06-30 18:00:00
169,57,1,60,1,15,2026-06-30 18:00:00
170,57,2,70,1,8,2026-06-30 18:00:00
171,57,3,15,0,10,2026-06-30 18:00:00
172,58,1,59,0,10,2026-06-30 18:00:00
173,58,2,70,0,20,2026-06-30 18:00:00
174,58,3,14,0,20,2026-06-30 18:00:00
175,59,1,50,0,10,2026-06-30 18:00:00
176,59,2,37,0,10,2026-06-30 18:00:00
177,59,3,32,0,8,2026-06-30 18:00:00
178,60,1,28,3,15,2026-06-30 18:00:00
179,60,2,14,1,15,2026-06-30 18:00:00
180,60,3,32,3,12,2026-06-30 18:00:00
