historico_id,pedido_id,status_anterior,status_novo,observacao,alterado_em
53,15,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-02-20 08:47:00
54,15,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-02-21 02:47:00
55,15,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-02-21 20:47:00
56,16,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-07 15:50:00
57,16,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-03-08 09:50:00
58,16,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-03-09 03:50:00
59,16,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-03-09 21:50:00
60,16,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-03-10 15:50:00
61,17,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-24 20:08:00
62,17,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-03-25 14:08:00
63,17,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-03-26 08:08:00
64,18,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-26 13:41:00
65,18,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-03-27 07:41:00
66,18,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-03-28 01:41:00
67,18,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-03-28 19:41:00
68,19,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-26 09:32:00
69,20,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-06-10 18:09:00
70,20,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-06-11 12:09:00
71,20,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-06-12 06:09:00
72,20,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-06-13 00:09:00
73,20,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-06-13 18:09:00
74,21,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-27 08:55:00
75,21,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-11-28 02:55:00
76,21,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-11-28 20:55:00
77,21,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-11-29 14:55:00
78,21,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-11-30 08:55:00
79,22,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-10-07 21:43:00
80,22,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-10-08 15:43:00
81,22,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-10-09 09:43:00
82,22,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-10-10 03:43:00
83,22,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-10-10 21:43:00
84,23,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-09-04 10:59:00
85,23,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2025-09-05 04:59:00
86,24,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-02-12 18:01:00
87,24,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-02-13 12:01:00
88,24,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-02-14 06:01:00
89,24,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-02-15 00:01:00
90,24,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-02-15 18:01:00
91,25,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-12-19 09:15:00
92,25,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-12-20 03:15:00
93,25,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-12-20 21:15:00
94,25,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-12-21 15:15:00
95,25,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-12-22 09:15:00
96,26,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-06-23 11:13:00
97,26,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-06-24 05:13:00
98,26,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-06-24 23:13:00
99,26,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-06-25 17:13:00
100,26,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-06-26 11:13:00
101,27,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-04-08 19:05:00
102,27,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2026-04-09 13:05:00
103,28,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-01-17 10:05:00
104,28,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-01-18 04:05:00
105,28,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-01-18 22:05:00
106,28,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-01-19 16:05:00
107,28,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-01-20 10:05:00
108,29,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-06-10 20:30:00
109,30,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-01-12 09:38:00
110,30,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-01-13 03:38:00
111,30,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-01-13 21:38:00
112,30,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-01-14 15:38:00
113,31,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-01-02 08:23:00
114,31,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-01-03 02:23:00
115,31,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-01-03 20:23:00
116,31,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-01-04 14:23:00
117,31,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-01-05 08:23:00
118,32,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-04-09 08:43:00
119,32,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-04-10 02:43:00
120,32,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-04-10 20:43:00
121,32,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-04-11 14:43:00
122,32,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-04-12 08:43:00
123,33,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-07 08:15:00
124,33,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-03-08 02:15:00
125,33,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-03-08 20:15:00
126,33,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-03-09 14:15:00
127,34,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-06 09:31:00
128,34,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-05-07 03:31:00
129,35,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-07 14:22:00
130,36,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-01-09 12:58:00
131,36,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-01-10 06:58:00
132,37,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-05-26 13:50:00
133,38,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-24 18:20:00
134,38,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2025-03-25 12:20:00
135,39,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-27 09:37:00
136,40,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-02-05 17:55:00
137,40,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2025-02-06 11:55:00
138,41,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-12-10 20:36:00
139,42,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-06-17 13:33:00
140,43,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-20 19:58:00
141,43,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-03-21 13:58:00
142,43,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-03-22 07:58:00
143,43,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-03-23 01:58:00
144,43,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-03-23 19:58:00
145,44,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-01-26 14:24:00
146,45,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-04-08 14:09:00
147,45,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-04-09 08:09:00
148,46,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-01-17 19:04:00
149,46,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-01-18 13:04:00
150,46,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-01-19 07:04:00
151,46,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-01-20 01:04:00
152,46,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-01-20 19:04:00
153,47,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-01-25 20:34:00
154,47,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-01-26 14:34:00
155,48,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-06-16 19:06:00
156,48,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-06-17 13:06:00
157,48,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-06-18 07:06:00
158,48,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-06-19 01:06:00
159,48,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-06-19 19:06:00
160,49,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-06-13 20:23:00
161,49,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-06-14 14:23:00
162,49,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-06-15 08:23:00
163,49,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-06-16 02:23:00
164,49,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-06-16 20:23:00
165,50,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-09-01 11:44:00
166,50,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-09-02 05:44:00
167,50,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-09-02 23:44:00
168,50,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-09-03 17:44:00
169,50,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-09-04 11:44:00
170,51,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-29 15:53:00
171,51,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-05-30 09:53:00
172,51,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-05-31 03:53:00
173,51,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-05-31 21:53:00
174,51,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-06-01 15:53:00
175,52,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-26 19:40:00
176,52,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-03-27 13:40:00
177,52,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-03-28 07:40:00
178,52,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-03-29 01:40:00
179,52,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-03-29 19:40:00
180,53,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-10 08:45:00
181,53,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-03-11 02:45:00
182,54,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-01-28 18:10:00
183,55,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-02-14 08:43:00
184,55,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-02-15 02:43:00
185,55,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-02-15 20:43:00
186,55,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-02-16 14:43:00
187,55,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-02-17 08:43:00
188,56,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-05-13 18:22:00
189,56,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-05-14 12:22:00
190,56,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-05-15 06:22:00
191,56,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-05-16 00:22:00
192,56,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-05-16 18:22:00
193,57,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-04-07 21:55:00
194,57,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-04-08 15:55:00
195,58,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-05-29 18:37:00
196,58,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-05-30 12:37:00
197,58,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-05-31 06:37:00
198,58,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-06-01 00:37:00
199,58,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-06-01 18:37:00
200,59,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-04-10 13:27:00
201,59,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-04-11 07:27:00
202,59,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-04-12 01:27:00
203,59,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-04-12 19:27:00
204,59,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-04-13 13:27:00
205,60,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-12-29 21:27:00
206,60,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-12-30 15:27:00
207,60,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-12-31 09:27:00
208,60,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-01-01 03:27:00
209,60,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-01-01 21:27:00
210,61,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-10-03 21:23:00
211,61,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-10-04 15:23:00
212,61,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-10-05 09:23:00
213,61,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-10-06 03:23:00
214,61,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-10-06 21:23:00
215,62,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-11 15:57:00
216,62,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-05-12 09:57:00
217,62,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-05-13 03:57:00
218,62,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-05-13 21:57:00
219,62,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-05-14 15:57:00
220,63,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-31 09:47:00
221,63,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-04-01 03:47:00
222,63,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-04-01 21:47:00
223,63,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-04-02 15:47:00
224,63,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-04-03 09:47:00
225,64,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-16 16:28:00
226,65,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-09 13:22:00
227,65,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-11-10 07:22:00
228,65,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-11-11 01:22:00
229,65,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-11-11 19:22:00
230,65,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-11-12 13:22:00
231,66,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-07 08:07:00
232,66,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-03-08 02:07:00
233,66,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-03-08 20:07:00
234,67,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-09-29 09:41:00
235,67,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-09-30 03:41:00
236,68,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-08-29 09:02:00
237,68,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-08-30 03:02:00
238,68,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-08-30 21:02:00
239,69,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-06-30 17:52:00
240,69,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2025-07-01 11:52:00
241,70,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-06-18 13:25:00
242,70,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-06-19 07:25:00
243,70,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-06-20 01:25:00
244,70,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-06-20 19:25:00
245,71,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-12-31 20:02:00
246,71,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-01-01 14:02:00
247,71,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-01-02 08:02:00
248,71,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-01-03 02:02:00
249,71,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-01-03 20:02:00
250,72,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-02-23 11:54:00
251,72,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-02-24 05:54:00
252,73,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-12-07 17:22:00
253,74,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-09-01 12:54:00
254,74,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2025-09-02 06:54:00
255,75,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-02-24 19:50:00
256,76,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-23 11:57:00
257,76,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-03-24 05:57:00
258,76,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-03-24 23:57:00
259,76,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-03-25 17:57:00
260,76,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-03-26 11:57:00
261,77,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-01-17 19:41:00
262,77,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-01-18 13:41:00
263,77,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-01-19 07:41:00
264,78,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-04-26 18:03:00
265,78,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-04-27 12:03:00
266,79,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-26 19:59:00
267,79,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-11-27 13:59:00
268,79,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-11-28 07:59:00
269,79,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-11-29 01:59:00
270,79,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-11-29 19:59:00
271,80,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-01-09 14:47:00
272,80,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-01-10 08:47:00
