entrega_id,pedido_id,transportadora,codigo_rastreio,status,previsao_entrega,enviado_em,entregue_em
39,70,Jadlog,TNBR000000070,EM_TRANSITO,2026-06-25,2026-06-21 13:25:00,
40,71,Total Express,TNBR000000071,ENTREGUE,2026-01-09,2026-01-01 20:02:00,2026-01-09 14:00:00
41,76,Jadlog,TNBR000000076,ENTREGUE,2026-03-29,2026-03-24 11:57:00,2026-03-29 14:00:00
42,79,Total Express,TNBR000000079,ENTREGUE,2025-12-04,2025-11-29 19:59:00,2025-12-04 15:00:00
43,80,Total Express,TNBR000000080,ENTREGUE,2026-01-19,2026-01-12 14:47:00,2026-01-19 11:00:00
44,81,Jadlog,TNBR000000081,ENTREGUE,2025-10-20,2025-10-18 08:20:00,2025-10-20 10:00:00
45,82,Jadlog,TNBR000000082,ENTREGUE,2026-03-13,2026-03-06 09:26:00,2026-03-13 15:00:00
46,83,Correios,TNBR000000083,EM_TRANSITO,2025-12-16,2025-12-10 11:40:00,
47,87,Total Express,TNBR000000087,ENTREGUE,2026-03-25,2026-03-18 18:15:00,2026-03-25 15:00:00
48,91,Jadlog,TNBR000000091,EM_TRANSITO,2026-03-08,2026-03-06 12:52:00,
49,92,Total Express,TNBR000000092,ENTREGUE,2025-09-28,2025-09-22 12:36:00,2025-09-28 14:00:00
50,93,Jadlog,TNBR000000093,ENTREGUE,2026-03-06,2026-03-03 14:31:00,2026-03-06 11:00:00
51,95,Jadlog,TNBR000000095,ENTREGUE,2025-02-07,2025-02-04 11:12:00,2025-02-07 16:00:00
52,96,Correios,TNBR000000096,ENTREGUE,2026-02-14,2026-02-11 10:35:00,2026-02-14 18:00:00
53,97,Total Express,TNBR000000097,ENTREGUE,2025-10-26,2025-10-21 08:07:00,2025-10-26 10:00:00
54,100,Loggi,TNBR000000100,ENTREGUE,2025-07-11,2025-07-05 09:27:00,2025-07-11 17:00:00
55,101,Jadlog,TNBR000000101,ENTREGUE,2026-01-18,2026-01-14 11:20:00,2026-01-18 16:00:00
56,102,Correios,TNBR000000102,EM_TRANSITO,2026-05-27,2026-05-24 16:49:00,
57,104,Total Express,TNBR000000104,ENTREGUE,2025-10-15,2025-10-12 17:39:00,2025-10-15 17:00:00
58,108,Jadlog,TNBR000000108,ENTREGUE,2025-03-25,2025-03-19 15:33:00,2025-03-25 15:00:00
59,109,Correios,TNBR000000109,EM_TRANSITO,2025-09-08,2025-09-06 15:08:00,
60,110,Loggi,TNBR000000110,ENTREGUE,2025-04-03,2025-03-28 13:18:00,2025-04-03 11:00:00
61,111,Jadlog,TNBR000000111,ENTREGUE,2026-01-20,2026-01-16 21:51:00,2026-01-20 16:00:00
62,113,Correios,TNBR000000113,ENTREGUE,2025-11-18,2025-11-13 12:43:00,2025-11-18 10:00:00
63,115,Loggi,TNBR000000115,ENTREGUE,2026-04-19,2026-04-16 14:41:00,2026-04-19 14:00:00
64,119,Total Express,TNBR000000119,EM_TRANSITO,2025-07-25,2025-07-20 21:28:00,
65,120,Jadlog,TNBR000000120,EM_TRANSITO,2026-06-12,2026-06-10 21:14:00,
